device_id,ts,anomaly_type,confidence_score,carbon_credit_impact_pct
TEC0325A0600002,2026-02-04 06:43:32.112000+00:00,EXCESSIVE_DISCHARGE_RATE,0.8094,100.0
TEC0325A0600002,2026-02-04 06:44:02.123000+00:00,EXCESSIVE_DISCHARGE_RATE,0.8094,100.0
TEC0325A0600002,2026-02-04 06:46:02.115000+00:00,EXCESSIVE_DISCHARGE_RATE,0.8099,100.0
TEC0325A0600002,2026-02-04 06:46:32.118000+00:00,EXCESSIVE_DISCHARGE_RATE,0.8127,100.0
TEC0325A0600002,2026-02-04 06:49:36.286000+00:00,EXCESSIVE_DISCHARGE_RATE,0.7624,100.0
TEC0325A0600002,2026-02-04 06:50:06.283000+00:00,EXCESSIVE_DISCHARGE_RATE,0.7656,100.0
TEC0325A0600002,2026-02-04 06:52:06.282000+00:00,EXCESSIVE_DISCHARGE_RATE,0.756,100.0
TEC0325A0600002,2026-02-04 06:52:36.365000+00:00,EXCESSIVE_DISCHARGE_RATE,0.7589,100.0
TEC0325A0600002,2026-02-04 06:56:06.285000+00:00,EXCESSIVE_DISCHARGE_RATE,0.7764,100.0
TEC0325A0600002,2026-02-04 06:56:36.288000+00:00,EXCESSIVE_DISCHARGE_RATE,0.7764,100.0
TEC0325A0600002,2026-02-04 07:00:06.287000+00:00,EXCESSIVE_DISCHARGE_RATE,0.7846,100.0
TEC0325A0600002,2026-02-04 07:00:36.286000+00:00,EXCESSIVE_DISCHARGE_RATE,0.784,100.0
TEC0325A0600002,2026-02-04 07:04:06.288000+00:00,EXCESSIVE_DISCHARGE_RATE,0.7981,100.0
TEC0325A0600002,2026-02-04 07:04:36.288000+00:00,EXCESSIVE_DISCHARGE_RATE,0.7975,100.0
TEC0325A0600002,2026-02-04 07:08:06.289000+00:00,EXCESSIVE_DISCHARGE_RATE,0.8008,100.0
TEC0325A0600002,2026-02-04 07:08:36.286000+00:00,EXCESSIVE_DISCHARGE_RATE,0.8032,100.0
TEC0325A0600002,2026-02-04 07:10:06.286000+00:00,EXCESSIVE_DISCHARGE_RATE,0.8009,100.0
TEC0325A0600002,2026-02-04 07:10:36.288000+00:00,EXCESSIVE_DISCHARGE_RATE,0.8021,100.0
